Rank, Name, Platform, Country, Wins, Games
187,ZODIACS.GrumplTV,Windows,DE,1480,4037
189,100T Parallax,Windows,US,1478,5115
190,Epsilon Kling,Windows,SE,1477,5604
191,NinjasKiz,Windows,,1475,8014
192,deeblok,Windows,,1473,5270
193,TAIZUNBÃ˜Y,Windows,BR,1470,4446
193,Xavr ll,Windows,US,1470,4928
195,Semm1234,Windows,IT,1468,5800
195,HansWho,Windows,DK,1468,5133
197,KiritÃ_SÃ¡n,Windows,DE,1467,4197
197,Twitch Shivsy_,Windows,US,1467,5139
199,Twitchtv ohtedi,Windows,ES,1466,3285
200,Carnifexed,Windows,DE,1463,3263
200,Carnifexed,Windows,DE,1463,3263
202,TMT. TÃ¬nh,Windows,,1462,8196
202,SupraKingTv,Windows,,1462,5715
204,Rev TyborN,Windows,IL,1460,3469
204,TTV.BoilingHeat,Windows,TR,1460,4815
206,H2D2 TonyMonster,Windows,FR,1459,6533
206,Î‘ragon,Windows,PA,1459,5389
206,mrfreshasian,Windows,AU,1459,2159
209,ÑÅÑ‚Ñ€_____°Ñ‡2,Windows,US,1457,4378
210,Real VV,Windows,FI,1455,4769
211,Renegades_BINN,Windows,KR,1453,6715
212,Twitch_DutchHawk,Windows,NL,1448,4627
213,ZeSuperKitten,Windows,FR,1443,3089
213,TTVJoeWatermelon,Windows,,1443,7983
215,Precisely37,Windows,,1442,5021
216,AuqW,Windows,GB,1441,5001
217,Waldben,Windows,DE,1440,7247
217,TwitchTVDimes,Windows,US,1440,4772
219,aX_Faker,Windows,LT,1438,5388
219,QLASH CrimiKevin,Windows,IT,1438,3547
221,Viá»‡t Cá»™ng Real.,Windows,,1437,8134
222,Twitch WickesyM8,Windows,GB,1433,5095
223,VIP. Trung LÆ°Æ¡ng,Windows,VN,1428,4216
224,Plan B -YeuVoSep,Windows,,1427,7126
225,k1n3c7,Windows,RU,1426,5805
226,RBR_Lizarreti,Windows,ES,1425,4946
227,HP Reheall,Windows,CA,1424,4953
228,Twitch_TheSpud88,Windows,GB,1423,3356
229,masonnx,Windows,US,1422,6642
230,NYCityREP,Windows,US,1419,8465
230,Twitch.tv KIGGAN,Windows,SE,1419,4228
232,Kyoto Milly TTV,Windows,US,1418,4432
233,00flour,Windows,US,1416,8379
233,Pixeal,Windows,NL,1416,4709
235,Kyoto T.ChallaTV,Windows,US,1413,3374
236,RBR_Xarlie,Windows,ES,1412,4854
236,Flu.T,Windows,,1412,6498
238,EÏ‡cÎµlT.-â„›oÎ˜Ñ‚ 007,Windows,ID,1411,8960
238,Rev ChiefStyx,Windows,IL,1411,4366
240,FunkBomb,Windows,US,1410,4638
241,RuralKT,Windows,US,1407,5297
242,Elite_Iron,Windows,RO,1403,2922
243,CC 1Belin TTV,Windows,NL,1402,5391
244,c1NZX,Windows,,1401,3145
244,Drewinz,Windows,,1401,4547
244,Big Jullzz,Windows,CA,1401,3430
247,G1 SmilzO,Windows,IT,1400,5125
247,LinK Nemesis,Windows,GR,1400,5410
249,KING HRK,Windows,BR,1399,7009
249,TÃ˜NYBÃ˜Y,Windows,BR,1399,3633
251,ItsBentley_ TTV,Windows,GB,1397,4272
